matrix,varied_axis,severity_state,metadata_complete,terminology_valid,traceability_ok,monitoring_ok,documentation_ok,semantic_compatible,P_pre_severity,P_cent1_severity,P_cent2_severity,P_post_severity,P_store_severity,G_gov,P_warm_severity,P_cold_severity,P_fix_severity,P_fixTime_severity,P_bio,RCS,score_based_grade,final_grade,grade_route,nearest_threshold,threshold_margin
fluid,P_pre,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.30000000000000004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.35000000000000003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.7000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.8500000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,0.9500000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_pre,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_cent1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
fluid,P_cent1,0.05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,1,NA,NA,NA,NA,0,100,Grade A,Grade A,Score-based certification,10,10
